Open,High,Low,Close,Volume,WAP,Count,Minute,Day,Month,Tesla3,Tesla6,Tesla9,Value5,Value6,Decision,EXECUTE
0.73075,0.731,0.7306,0.73085,306,0.73077,101,0,60,1.97260274,0.001173,0.001353,0.0002565,8,1,NO,NO
0.73085,0.7312,0.73075,0.73115,281,0.73096,88,5,60,1.97260274,0.0011565,0.001227,0.0001935,8,1,NO,NO
0.73115,0.73125,0.731,0.7312,326,0.731145,103,10,60,1.97260274,0.001302,0.001509,0.0008595,8,1,NO,NO
0.7312,0.73135,0.73115,0.73115,413,0.731285,98,15,60,1.97260274,0.0013395,0.001395,0.000963,8,1,NO,NO
0.7312,0.7313,0.7311,0.73125,162,0.731195,53,20,60,1.97260274,0.0012705,0.001359,0.000729,8,1,NO,NO
0.73125,0.7313,0.731,0.73105,259,0.73116,70,25,60,1.97260274,0.0011085,0.001119,0.0002745,8,1,NO,NO
0.7311,0.73135,0.7309,0.7311,483,0.731145,132,30,60,1.97260274,0.0008445,0.000753,-0.0002385,8,1,SELL,NO
0.73105,0.7312,0.7309,0.73115,288,0.731085,98,35,60,1.97260274,0.0006075,0.000462,-0.0003555,8,1,SELL,NO
0.73115,0.7313,0.731,0.7311,410,0.731125,108,40,60,1.97260274,0.0005295,0.000186,-0.0001035,8,1,SELL,NO
0.7311,0.73115,0.7305,0.7308,574,0.73075,177,45,60,1.97260274,0.0004275,-8.1E-05,-5.85E-05,8,1,NO,NO
0.7308,0.7312,0.73075,0.73115,476,0.730985,150,50,60,1.97260274,-4.95E-05,-0.001011,-0.0009045,8,1,NO,NO
0.7311,0.73125,0.7308,0.7309,394,0.73104,166,55,60,1.97260274,0.000165,-0.000369,0.0002025,8,1,NO,NO
0.7309,0.7309,0.7303,0.7306,404,0.73067,140,0,60,1.97260274,-8.4E-05,-0.000423,-1.8E-05,9,2,NO,NO
0.7306,0.7307,0.7303,0.73065,362,0.73054,114,5,60,1.97260274,-0.0006135,-0.001185,-0.0008145,9,2,NO,NO
0.7306,0.73085,0.7305,0.73075,234,0.7307,67,10,60,1.97260274,-0.0007515,-0.001095,-0.0008595,9,2,NO,NO
0.73075,0.73085,0.72975,0.72985,494,0.73025,137,15,60,1.97260274,-0.0005655,-0.000627,-4.5E-05,9,2,NO,NO
0.72985,0.72995,0.7296,0.72975,548,0.729785,127,20,60,1.97260274,-0.0013155,-0.00222,-0.001764,9,2,NO,NO
0.7297,0.73,0.72955,0.7296,492,0.729725,128,25,60,1.97260274,-0.0016635,-0.002685,-0.0020745,9,2,NO,NO
0.7296,0.7296,0.72885,0.7289,1303,0.729195,280,30,60,1.97260274,-0.0016365,-0.002751,-0.001629,9,2,NO,NO
0.7289,0.7294,0.72885,0.7293,604,0.72916,173,35,60,1.97260274,-0.0023265,-0.004056,-0.0024885,9,2,NO,NO
0.7293,0.7296,0.7292,0.7295,553,0.72942,170,40,60,1.97260274,-0.002094,-0.003144,-0.0008505,9,2,NO,NO
0.7295,0.72975,0.72945,0.72955,587,0.72962,162,45,60,1.97260274,-0.0016815,-0.002061,0.000306,9,2,NO,NO
0.7295,0.7295,0.72885,0.7294,843,0.729195,240,50,60,1.97260274,-0.0014985,-0.001332,0.0007605,9,2,BUY,NO
0.72945,0.73,0.72945,0.73,1470,0.72985,359,55,60,1.97260274,-0.001698,-0.000999,-9.45E-05,9,2,BUY,EXECUTE
0.73,0.7304,0.72955,0.7298,1377,0.730055,318,0,60,1.97260274,-0.000738,0.001101,0.0014535,10,3,BUY,NO
0.7298,0.7302,0.7297,0.72995,628,0.729865,170,5,60,1.97260274,-0.0004695,0.001326,0.000891,10,3,NO,NO
0.72995,0.72995,0.72965,0.7298,176,0.729745,68,10,60,1.97260274,-0.000249,0.001341,0.0005985,10,3,NO,NO
0.7298,0.7301,0.7298,0.72985,120,0.729905,53,15,60,1.97260274,4.05E-05,0.001017,-0.0003825,10,3,NO,NO
0.7299,0.7301,0.72985,0.7301,144,0.72996,68,20,60,1.97260274,0.0005235,0.000915,3.6E-05,10,3,NO,NO
