Open,High,Low,Close,Volume,WAP,Count,Minute,Day,Month,Tesla3,Tesla6,Tesla9,Value5,Value6,Decision,EXECUTE
0.8025,0.80275,0.8024,0.80255,748,0.802595,189,30,61,2.005479452,0.0008115,0.00057,0.000207,8,1,SELL,NO
0.8026,0.8027,0.80255,0.80265,269,0.802645,92,35,61,2.005479452,0.000825,0.000606,0.0003555,8,1,SELL,NO
0.8027,0.80285,0.8025,0.80265,418,0.802665,177,40,61,2.005479452,0.000819,0.00069,0.0004275,8,1,SELL,NO
0.80255,0.8026,0.80205,0.8023,890,0.80224,166,45,61,2.005479452,0.0005895,0.000468,3.6E-05,8,1,SELL,EXECUTE
0.8023,0.80275,0.8023,0.8027,696,0.80248,167,50,61,2.005479452,1.8E-05,-0.000396,-0.0009585,8,1,SELL,NO
0.8027,0.80285,0.80225,0.8024,703,0.80255,156,55,61,2.005479452,0.000294,0.000219,0.000297,8,1,NO,NO
0.80245,0.80245,0.80195,0.8021,507,0.802195,129,0,61,2.005479452,0.000138,-0.000129,5.85E-05,9,2,NO,NO
0.80215,0.8022,0.8015,0.8018,1077,0.801785,258,5,61,2.005479452,-0.000288,-0.00102,-0.0006975,9,2,NO,NO
0.80175,0.8022,0.8017,0.8021,460,0.802025,128,10,61,2.005479452,-0.000801,-0.001845,-0.001746,9,2,NO,NO
0.8021,0.80215,0.8014,0.80145,484,0.80175,141,15,61,2.005479452,-0.0005235,-0.001068,-0.0002745,9,2,NO,NO
0.8015,0.80175,0.80135,0.8014,416,0.801495,112,20,61,2.005479452,-0.0011145,-0.002061,-0.0011295,9,2,NO,NO
0.8014,0.80165,0.80115,0.8012,735,0.801325,189,25,61,2.005479452,-0.00138,-0.002205,-0.0011385,9,2,NO,NO
0.80115,0.80115,0.80035,0.80045,1232,0.80072,318,30,61,2.005479452,-0.0015585,-0.002436,-0.0014805,9,2,NO,NO
0.8005,0.80095,0.80005,0.80085,1337,0.800545,335,35,61,2.005479452,-0.002277,-0.003669,-0.002565,9,2,NO,NO
