Open,High,Low,Close,Volume,WAP,Count,Minute,Day,Month,Tesla3,Tesla6,Tesla9,Value5,Value6,Decision,EXECUTE
1.14855,1.1486,1.1482,1.14845,1290,1.14842,315,0,60,1.97260274,0.0010155,0.001737,0.00162,8,1,NO,NO
1.1484,1.14905,1.1483,1.149,774,1.14868,259,5,60,1.97260274,0.000999,0.001656,0.000909,8,1,NO,NO
1.14895,1.14895,1.1486,1.14875,593,1.14875,200,10,60,1.97260274,0.0015165,0.002475,0.001665,8,1,NO,NO
1.1487,1.1491,1.1487,1.14875,1433,1.14899,283,15,60,1.97260274,0.001371,0.002046,0.000684,8,1,NO,NO
1.14875,1.1488,1.1485,1.1487,587,1.14866,247,20,60,1.97260274,0.0014085,0.00216,0.000576,8,1,NO,NO
1.1487,1.14875,1.1484,1.1485,753,1.14854,188,25,60,1.97260274,0.001152,0.001254,-0.000324,8,1,NO,NO
1.1485,1.14935,1.1484,1.14915,1628,1.14893,472,30,60,1.97260274,0.0008835,0.000402,-0.000774,8,1,SELL,NO
1.1491,1.14925,1.14895,1.14915,792,1.14909,238,35,60,1.97260274,0.001371,0.001152,0.000846,8,1,SELL,NO
1.14915,1.1495,1.1489,1.1491,1298,1.149185,304,40,60,1.97260274,0.00138,0.000984,0.001134,8,1,NO,NO
1.1491,1.14915,1.14815,1.1486,1877,1.148535,432,45,60,1.97260274,0.001182,0.000894,0.0007425,8,1,SELL,EXECUTE
1.1486,1.1493,1.1486,1.14915,684,1.14898,237,50,60,1.97260274,0.000258,-0.000402,-0.001323,8,1,SELL,NO
1.1492,1.1493,1.1486,1.1487,839,1.14902,253,55,60,1.97260274,0.000666,0.000744,0.000513,8,1,NO,NO
1.1487,1.1487,1.1481,1.14825,1074,1.14834,311,0,60,1.97260274,0.00018,0.000132,-0.000252,9,2,SELL,EXECUTE
1.14825,1.14885,1.14805,1.1488,1250,1.14841,329,5,60,1.97260274,-0.00057,-0.001539,-0.0015255,9,2,NO,NO
1.1488,1.14905,1.1486,1.14895,1151,1.148915,233,10,60,1.97260274,-0.000156,-0.000792,-0.000297,9,2,NO,NO
1.149,1.1491,1.148,1.14805,1186,1.14848,293,15,60,1.97260274,0.000213,2.4E-05,0.0010305,9,2,NO,NO
1.14805,1.1481,1.14755,1.14775,1514,1.147835,385,20,60,1.97260274,-0.000648,-0.001596,-0.0009765,9,2,NO,NO
1.14775,1.14795,1.1469,1.1469,2119,1.1474,507,25,60,1.97260274,-0.0013725,-0.002223,-0.002223,9,2,NO,NO
1.1469,1.14695,1.14605,1.1461,3053,1.146465,855,30,60,1.97260274,-0.002142,-0.00369,-0.003627,9,2,NO,NO
1.1461,1.1468,1.14605,1.14665,1333,1.14641,386,35,60,1.97260274,-0.003198,-0.005733,-0.004545,9,2,NO,NO
1.14665,1.1471,1.14645,1.14675,1252,1.146805,310,40,60,1.97260274,-0.00288,-0.004815,-0.001791,9,2,NO,NO
1.14675,1.147,1.14655,1.14665,1002,1.146725,325,45,60,1.97260274,-0.0023295,-0.003918,2.7E-05,9,2,NO,NO
1.14665,1.14675,1.146,1.1466,1766,1.14636,504,50,60,1.97260274,-0.0024,-0.003528,0.0003105,9,2,NO,NO
1.14655,1.1475,1.14655,1.1474,3371,1.147145,847,55,60,1.97260274,-0.0026595,-0.002616,-0.000432,9,2,BUY,EXECUTE
1.14745,1.1475,1.147,1.1475,2103,1.147345,591,0,60,1.97260274,-0.0014865,0.000648,0.0019395,10,3,BUY,NO
1.14745,1.1481,1.1474,1.14795,1579,1.147835,458,5,60,1.97260274,-0.001215,0.001506,0.0018135,10,3,BUY,EXECUTE
1.14795,1.14795,1.14745,1.14765,546,1.147605,172,10,60,1.97260274,-0.000318,0.003099,0.0025965,10,3,NO,NO
1.1476,1.1483,1.1475,1.14805,750,1.148005,214,15,60,1.97260274,6.9E-05,0.002466,0.000432,10,3,NO,NO
1.14805,1.1482,1.14785,1.14815,831,1.148045,228,20,60,1.97260274,0.0012,0.003045,0.001188,10,3,NO,NO
1.14815,1.14855,1.148,1.1481,837,1.148275,290,25,60,1.97260274,0.001593,0.002889,0.00081,10,3,NO,NO
1.14805,1.14835,1.148,1.14815,423,1.148225,152,30,60,1.97260274,0.0018735,0.002379,0.000648,10,3,NO,NO
1.1482,1.14835,1.1481,1.14815,618,1.148225,179,35,60,1.97260274,0.001965,0.001752,0.00027,10,3,SELL,NO
1.1482,1.14835,1.14805,1.14815,594,1.148215,137,40,60,1.97260274,0.0017445,0.001236,7.2E-05,10,3,SELL,NO
1.14815,1.14815,1.1476,1.1477,1131,1.147775,307,45,60,1.97260274,0.0015465,0.000744,-0.000189,10,3,SELL,EXECUTE
1.1477,1.1477,1.1474,1.1477,836,1.147535,168,50,60,1.97260274,0.0006795,-0.000588,-0.001341,10,3,SELL,NO
1.14775,1.14795,1.14755,1.1479,431,1.14782,104,55,60,1.97260274,0.000192,-0.001188,-0.001062,10,3,NO,NO
1.14785,1.1479,1.14735,1.14745,612,1.14756,142,0,60,1.97260274,0.000165,-0.000858,-4.5E-06,11,4,NO,NO
1.14745,1.1478,1.1474,1.1477,333,1.147615,109,5,60,1.97260274,-0.000441,-0.001752,-0.000603,11,4,NO,NO
1.1477,1.14805,1.14765,1.14795,632,1.147935,158,10,60,1.97260274,-0.00039,-0.001086,9E-05,11,4,NO,NO
1.14795,1.148,1.1474,1.1475,480,1.147655,157,15,60,1.97260274,-0.000234,1.2E-05,0.000756,11,4,BUY,NO
1.14755,1.14765,1.1468,1.1471,852,1.14713,214,20,60,1.97260274,-0.000708,-0.000561,-0.0003195,11,4,BUY,NO
1.1471,1.14765,1.14705,1.14755,371,1.147375,96,25,60,1.97260274,-0.001344,-0.001338,-0.0016875,11,4,NO,NO
1.1475,1.1477,1.14745,1.14765,494,1.147595,103,30,60,1.97260274,-0.000807,-0.000468,-0.0003105,11,4,BUY,NO
1.14755,1.1476,1.1473,1.1475,239,1.14748,69,35,60,1.97260274,-0.000438,-0.000384,0.0004815,11,4,BUY,NO
1.14745,1.1475,1.1474,1.1475,146,1.14744,55,40,60,1.97260274,-0.0004455,-0.000543,0.000252,11,4,NO,NO
1.1475,1.1476,1.14725,1.14735,374,1.14745,90,45,60,1.97260274,-0.000243,-0.000273,-9E-06,11,4,NO,NO
1.1473,1.14765,1.14725,1.1476,334,1.147475,96,50,60,1.97260274,-0.000309,-0.000357,-0.0004185,11,4,SELL,NO
1.14755,1.14755,1.1471,1.1475,418,1.147285,111,55,60,1.97260274,-0.000264,0.000177,0.0001845,11,4,BUY,NO
1.14745,1.14775,1.1474,1.1477,711,1.14753,173,0,60,1.97260274,-0.0003885,-6.6E-05,-0.000162,12,5,NO,NO
1.1477,1.14795,1.1476,1.14785,822,1.14774,181,5,60,1.97260274,3.75E-05,0.000342,0.000648,12,5,BUY,NO
1.14785,1.14785,1.14765,1.1478,299,1.147765,65,10,60,1.97260274,0.0003255,0.000729,0.001035,12,5,BUY,NO
1.14775,1.14795,1.14765,1.1479,413,1.14778,75,15,60,1.97260274,0.0003825,0.000711,0.000639,12,5,NO,NO
1.14795,1.14795,1.1477,1.1477,203,1.147855,57,20,60,1.97260274,0.000564,0.001086,0.0005805,12,5,NO,NO
1.1477,1.1478,1.14745,1.1475,239,1.1476,61,25,60,1.97260274,0.000366,0.000822,-2.7E-05,12,5,NO,NO
1.14755,1.1478,1.1475,1.1477,266,1.147675,72,30,60,1.97260274,0.0001005,0.000162,-0.00063,12,5,NO,NO
1.14765,1.1477,1.1473,1.1474,346,1.14751,98,35,60,1.97260274,0.0002415,0.000198,-0.000234,12,5,SELL,NO
1.1474,1.14745,1.14725,1.14725,279,1.14735,84,40,60,1.97260274,5.1E-05,-0.000597,-0.000738,12,5,SELL,NO
1.1473,1.14735,1.14705,1.1473,357,1.147205,115,45,60,1.97260274,-0.000132,-0.001104,-0.0007515,12,5,NO,NO
1.14725,1.14725,1.1471,1.14725,536,1.1472,129,50,60,1.97260274,-0.000336,-0.001254,-0.000747,12,5,NO,NO
1.14725,1.1473,1.14705,1.1472,370,1.14718,111,55,60,1.97260274,-0.000426,-0.001206,-0.0003285,12,5,NO,NO
1.1472,1.1474,1.1471,1.14735,277,1.147215,66,0,60,1.97260274,-0.0006165,-0.001128,-0.0001575,13,6,NO,NO
1.14735,1.14775,1.14735,1.14775,373,1.147585,68,5,60,1.97260274,-0.000603,-0.000603,0.000297,13,6,BUY,EXECUTE
1.1477,1.1478,1.1476,1.14765,217,1.147735,54,10,60,1.97260274,-0.000129,0.000498,0.001251,13,6,BUY,NO
1.14765,1.14775,1.14745,1.14775,486,1.147625,82,15,60,1.97260274,-4.2E-05,0.000903,0.0009495,13,6,BUY,NO
1.1478,1.1478,1.1476,1.14765,353,1.147695,61,20,60,1.97260274,6.3E-05,0.001149,0.000621,13,6,NO,NO
1.14765,1.1477,1.14745,1.14745,344,1.14754,76,25,60,1.97260274,0.0001665,0.001134,4.5E-05,13,6,NO,NO
1.14745,1.1476,1.14735,1.14745,609,1.14746,132,30,60,1.97260274,7.2E-05,0.00048,-0.0005535,13,6,NO,NO
1.1475,1.14765,1.1475,1.1476,265,1.14757,59,35,60,1.97260274,0.0001965,0.000123,-0.00036,13,6,SELL,NO
1.1476,1.1476,1.1474,1.14755,534,1.147495,92,40,60,1.97260274,0.0004215,0.000108,6.75E-05,13,6,SELL,NO
1.14755,1.1477,1.14745,1.14745,422,1.147605,95,45,60,1.97260274,0.000387,-0.00033,2.25E-05,13,6,NO,NO
1.14745,1.14765,1.1474,1.1474,346,1.147535,97,50,60,1.97260274,0.000279,-0.000291,-1.8E-05,13,6,NO,NO
1.1474,1.1477,1.14735,1.1475,1860,1.147485,476,55,60,1.97260274,4.65E-05,-0.00027,-0.0003015,13,6,SELL,NO
1.1475,1.14755,1.14705,1.14705,1352,1.14733,334,0,60,1.97260274,-5.7E-05,-0.000177,-0.000135,14,7,NO,NO
1.1471,1.14735,1.1471,1.1473,386,1.147205,84,5,60,1.97260274,-0.000534,-0.000723,-0.0009855,14,7,SELL,NO
1.14735,1.14735,1.14685,1.14685,536,1.147075,92,10,60,1.97260274,-0.0004455,-0.000612,-0.0004005,14,7,NO,NO
1.14685,1.1469,1.14675,1.14675,477,1.146845,116,15,60,1.97260274,-0.000741,-0.001413,-0.0011205,14,7,NO,NO
1.1468,1.147,1.14665,1.14695,560,1.14688,117,20,60,1.97260274,-0.0008925,-0.001698,-0.0010485,14,7,NO,NO
1.14695,1.1471,1.14685,1.1471,299,1.14697,85,25,60,1.97260274,-0.0007215,-0.001377,-0.0003105,14,7,NO,NO
1.14705,1.14715,1.14695,1.14715,265,1.14703,59,30,60,1.97260274,-0.000627,-0.000909,0.000243,14,7,NO,NO
1.14715,1.14715,1.1469,1.1469,210,1.146995,59,35,60,1.97260274,-0.0005535,-0.000441,0.0005715,14,7,BUY,NO
1.14685,1.14705,1.1468,1.14695,211,1.146935,41,40,60,1.97260274,-0.000729,-0.000459,-0.0001665,14,7,BUY,NO
1.14695,1.14695,1.1466,1.14665,383,1.146755,64,45,60,1.97260274,-0.0006555,-0.000141,-0.000144,14,7,NO,NO
1.1467,1.1468,1.1466,1.14665,219,1.1467,53,50,60,1.97260274,-0.0007935,-0.000516,-0.0007245,14,7,NO,NO
1.1466,1.1467,1.1464,1.1465,789,1.14655,161,55,60,1.97260274,-0.0007485,-0.000675,-0.0007065,14,7,NO,NO
1.1465,1.14685,1.14635,1.1466,627,1.146515,101,0,60,1.97260274,-0.0007065,-0.001065,-0.000756,15,8,NO,NO
1.14665,1.14665,1.14655,1.1466,105,1.146565,26,5,60,1.97260274,-0.0005025,-0.00096,-0.000171,15,8,NO,NO
1.14665,1.14675,1.14665,1.14675,107,1.14669,36,10,60,1.97260274,-0.000402,-0.000771,9E-05,15,8,NO,NO
1.1467,1.14675,1.14665,1.14665,109,1.146695,31,15,60,1.97260274,-0.0002835,-0.000363,0.000414,15,8,NO,NO
1.14665,1.1467,1.14665,1.14665,55,1.14668,11,20,60,1.97260274,-0.0003555,-0.00015,0.0002025,15,8,BUY,NO
1.14665,1.1467,1.1466,1.14665,106,1.14665,19,25,60,1.97260274,-0.000381,8.4E-05,2.7E-05,15,8,NO,NO
1.1467,1.14675,1.14665,1.14665,33,1.14671,11,30,60,1.97260274,-0.0003045,0.000222,-1.35E-05,15,8,NO,NO
1.1467,1.1468,1.1467,1.1468,49,1.146775,13,35,60,1.97260274,-0.0001695,0.0003,7.65E-05,15,8,NO,NO
1.1468,1.14685,1.1467,1.14675,88,1.14677,28,40,60,1.97260274,6.3E-05,0.000411,0.0003015,15,8,NO,NO
1.1468,1.1468,1.14665,1.14665,162,1.146695,45,45,60,1.97260274,0.000186,0.000306,0.0002115,15,8,NO,NO
1.1467,1.14685,1.1467,1.1468,77,1.146805,26,50,60,1.97260274,0.000138,4.5E-05,-0.000144,15,8,SELL,NO
1.1468,1.14685,1.14665,1.14685,78,1.14675,24,55,60,1.97260274,0.000267,0.000285,0.0001485,15,8,NO,NO
1.1452,1.1457,1.14485,1.14565,1342,1.145265,453,0,59,1.939726027,-0.000822,-0.001302,-0.0013275,8,1,SELL,NO
1.14565,1.14605,1.1454,1.14565,1460,1.145775,546,5,59,1.939726027,-0.0005775,-0.00141,0.0004185,8,1,NO,NO
1.14565,1.14635,1.14565,1.1463,807,1.146075,279,10,59,1.939726027,-0.0001125,-0.000825,0.0012825,8,1,NO,NO
1.14625,1.1463,1.1455,1.1456,618,1.14586,242,15,59,1.939726027,0.000489,0.000762,0.001926,8,1,BUY,NO
1.1456,1.1457,1.14485,1.1449,1422,1.145115,348,20,59,1.939726027,-0.000132,0.000153,-4.95E-05,8,1,NO,NO
1.1449,1.14505,1.1443,1.145,2203,1.14464,568,25,59,1.939726027,-0.001245,-0.000801,-0.0025155,8,1,NO,NO
1.14495,1.1453,1.1444,1.1453,1846,1.14478,547,30,59,1.939726027,-0.0015135,-0.001347,-0.002259,8,1,NO,NO
1.14525,1.14565,1.1451,1.1453,1204,1.14532,416,35,59,1.939726027,-0.000996,-0.00147,-0.0003015,8,1,NO,NO
1.14535,1.14585,1.14535,1.14585,1168,1.145665,354,40,59,1.939726027,-0.0003975,-0.000981,0.0013365,8,1,NO,NO
1.1458,1.14585,1.14505,1.1451,1241,1.14538,357,45,59,1.939726027,0.0004695,6.3E-05,0.0022725,8,1,NO,NO
1.14505,1.14545,1.145,1.1452,732,1.14525,240,50,59,1.939726027,-0.0001695,-0.000498,-0.0002565,8,1,NO,NO
1.1452,1.14565,1.14515,1.1455,1254,1.145435,358,55,59,1.939726027,-0.000483,0.000303,-0.0006435,8,1,NO,NO
1.1455,1.14555,1.14375,1.14395,4005,1.144395,1007,0,59,1.939726027,-0.0003315,0.001209,0.000126,9,2,NO,NO
1.14395,1.14505,1.14395,1.1449,1063,1.14456,413,5,59,1.939726027,-0.0018405,-0.002229,-0.003393,9,2,SELL,NO
1.1449,1.14515,1.1445,1.14455,930,1.144865,311,10,59,1.939726027,-0.000831,-0.001335,-0.000648,9,2,NO,NO
1.1446,1.1447,1.1442,1.14435,989,1.144415,306,15,59,1.939726027,-0.0004395,-0.001611,-0.0002925,9,2,NO,NO
1.1443,1.14445,1.1439,1.1442,916,1.144225,302,20,59,1.939726027,-0.0007275,-0.00258,-0.0007245,9,2,NO,NO
1.14415,1.14415,1.1437,1.1441,1320,1.143875,355,25,59,1.939726027,-0.0010965,-0.002226,-0.0011835,9,2,NO,NO
