Open,High,Low,Close,Volume,WAP,Count,Minute,Day,Month,Tesla3,Tesla6,Tesla9,Value5,Value6,Decision,EXECUTE
1.3735,1.3736,1.3732,1.3734,446,1.37338,115,0,60,1.97260274,0.002298,0.00354,0.001602,8,1,NO,NO
1.3733,1.3739,1.3731,1.3738,372,1.37344,93,5,60,1.97260274,0.002049,0.003054,0.000729,8,1,NO,NO
1.3737,1.3737,1.3733,1.3734,240,1.37351,82,10,60,1.97260274,0.002211,0.002928,0.001026,8,1,NO,NO
1.3735,1.3738,1.3734,1.3735,291,1.37356,77,15,60,1.97260274,0.002121,0.001914,0.000405,8,1,SELL,NO
1.3735,1.3737,1.3734,1.3735,229,1.37352,61,20,60,1.97260274,0.001962,0.001452,0.000207,8,1,SELL,NO
1.3735,1.3736,1.373,1.3735,537,1.3733,117,25,60,1.97260274,0.001731,0.000894,9E-06,8,1,SELL,NO
1.3734,1.3739,1.3734,1.3738,505,1.37369,115,30,60,1.97260274,0.0012,0.000156,-0.000441,8,1,SELL,NO
1.3738,1.3739,1.3736,1.3739,279,1.37374,70,35,60,1.97260274,0.001245,0.000846,0.000819,8,1,SELL,NO
1.3739,1.3741,1.3736,1.3738,538,1.37384,106,40,60,1.97260274,0.001074,0.000834,0.000927,8,1,NO,NO
1.3738,1.374,1.3728,1.3734,479,1.37335,132,45,60,1.97260274,0.000819,0.00075,0.000639,8,1,SELL,NO
1.3734,1.3742,1.3734,1.3741,707,1.37382,143,50,60,1.97260274,0.000108,-0.000234,-0.001008,8,1,SELL,NO
1.374,1.3744,1.3739,1.3741,793,1.37413,174,55,60,1.97260274,0.000621,0.000942,0.000801,8,1,NO,NO
1.3741,1.3742,1.3736,1.3739,1083,1.37389,254,0,60,1.97260274,0.000771,0.001326,0.001188,9,2,NO,NO
1.3739,1.3742,1.3737,1.374,571,1.37391,127,5,60,1.97260274,0.000465,0.000606,0.000351,9,2,NO,NO
1.374,1.3743,1.3738,1.374,436,1.37407,111,10,60,1.97260274,0.000579,0.00072,6.3E-05,9,2,NO,NO
1.3741,1.3742,1.3734,1.3735,744,1.37373,163,15,60,1.97260274,0.000681,0.000954,0.000306,9,2,NO,NO
1.3735,1.3737,1.373,1.3732,607,1.37338,149,20,60,1.97260274,6.3E-05,-0.000408,-0.001026,9,2,SELL,NO
1.3731,1.3735,1.3729,1.3733,849,1.37323,202,25,60,1.97260274,-0.000483,-0.001338,-0.001917,9,2,SELL,NO
1.3732,1.3732,1.3722,1.3724,1022,1.3726,267,30,60,1.97260274,-0.000528,-0.001734,-0.001395,9,2,NO,NO
1.3723,1.3731,1.3722,1.3728,600,1.37264,162,35,60,1.97260274,-0.001485,-0.00372,-0.002826,9,2,NO,NO
1.3729,1.3731,1.3726,1.3729,335,1.37284,127,40,60,1.97260274,-0.001218,-0.002712,-0.000693,9,2,NO,NO
1.3729,1.3733,1.3727,1.3728,1007,1.37305,200,45,60,1.97260274,-0.001113,-0.002166,0.000153,9,2,NO,NO
1.3728,1.3728,1.3715,1.3717,1860,1.37188,360,50,60,1.97260274,-0.001215,-0.001626,0.000513,9,2,NO,NO
1.3718,1.3731,1.3718,1.3731,2638,1.37264,414,55,60,1.97260274,-0.002592,-0.003348,-0.002745,9,2,NO,NO
1.373,1.3734,1.3727,1.3732,1696,1.37306,350,0,60,1.97260274,-0.001296,-0.000342,0.000783,10,3,BUY,NO
1.3731,1.3734,1.3729,1.3732,442,1.37316,119,5,60,1.97260274,-0.000831,0.000606,0.001521,10,3,BUY,NO
1.3733,1.3733,1.3727,1.3729,269,1.37291,86,10,60,1.97260274,-0.000447,0.001074,0.001962,10,3,BUY,NO
1.373,1.3734,1.3729,1.3733,235,1.37312,69,15,60,1.97260274,-0.000336,0.000846,4.5E-05,10,3,NO,NO
1.3734,1.3734,1.3729,1.3731,221,1.37313,76,20,60,1.97260274,0.000357,0.001578,0.000711,10,3,NO,NO
1.3731,1.3736,1.3731,1.3733,193,1.37337,51,25,60,1.97260274,0.000345,0.001098,0.000126,10,3,NO,NO
1.3733,1.3734,1.373,1.3731,398,1.37321,62,30,60,1.97260274,0.000663,0.00156,0.000729,10,3,NO,NO
1.3731,1.3732,1.3731,1.3732,228,1.37315,61,35,60,1.97260274,0.000663,0.00051,-0.000189,10,3,SELL,NO
1.3732,1.3732,1.373,1.3731,205,1.37309,65,40,60,1.97260274,0.000687,0.00027,-0.000144,10,3,SELL,NO
1.3731,1.3731,1.3725,1.3726,487,1.37279,147,45,60,1.97260274,0.000525,3.6E-05,-0.000396,10,3,SELL,NO
1.3726,1.3727,1.3723,1.3724,346,1.3725,94,50,60,1.97260274,1.2E-05,-0.00105,-0.001314,10,3,SELL,NO
1.3724,1.3724,1.3719,1.3721,446,1.37216,106,55,60,1.97260274,-0.000591,-0.001818,-0.001557,10,3,NO,NO
1.372,1.372,1.3714,1.3714,372,1.37173,97,0,60,1.97260274,-0.001179,-0.002724,-0.001998,11,4,NO,NO
1.3714,1.3715,1.3713,1.3713,171,1.37145,54,5,60,1.97260274,-0.001818,-0.003936,-0.002628,11,4,NO,NO
1.3713,1.3718,1.3713,1.3716,321,1.3716,93,10,60,1.97260274,-0.002109,-0.004044,-0.002106,11,4,NO,NO
1.3716,1.3716,1.3711,1.3711,551,1.37134,132,15,60,1.97260274,-0.001929,-0.003078,-0.000486,11,4,NO,NO
1.3711,1.3712,1.3704,1.3708,524,1.3707,119,20,60,1.97260274,-0.002394,-0.003396,-0.001116,11,4,NO,NO
1.3707,1.3712,1.3707,1.3711,200,1.37097,90,25,60,1.97260274,-0.003006,-0.003828,-0.002061,11,4,NO,NO
1.3711,1.3714,1.3711,1.3713,279,1.37127,102,30,60,1.97260274,-0.00243,-0.00222,-0.000423,11,4,BUY,NO
1.3713,1.3714,1.371,1.3712,148,1.37121,49,35,60,1.97260274,-0.001917,-0.00108,0.000774,11,4,BUY,NO
1.3711,1.3712,1.371,1.3711,79,1.37116,19,40,60,1.97260274,-0.001776,-0.0009,0.000423,11,4,BUY,NO
1.3711,1.3712,1.3706,1.3707,204,1.37086,53,45,60,1.97260274,-0.001398,-0.000342,-8.1E-05,11,4,BUY,NO
1.3707,1.371,1.3707,1.371,349,1.3708,70,50,60,1.97260274,-0.001416,-0.000894,-0.001242,11,4,NO,NO
