Open,High,Low,Close,Volume,WAP,Count,Minute,Day,Month,Tesla3,Tesla6,Tesla9,Value5,Value6,Decision,EXECUTE
0.008754,0.0087585,0.0087535,0.0087565,579,0.00875595,136,0,60,1.97260274,1.095E-06,-1.38E-06,-2.385E-06,8,1,SELL,NO
0.008757,0.008762,0.0087555,0.0087605,840,0.00875855,200,5,60,1.97260274,2.625E-06,5.79E-06,6.66E-06,8,1,BUY,EXECUTE
0.00876,0.0087605,0.0087575,0.0087605,352,0.008759,94,10,60,1.97260274,4.14E-06,1.371E-05,1.3095E-05,8,1,NO,NO
0.0087605,0.0087635,0.0087595,0.0087615,620,0.0087609,150,15,60,1.97260274,5.475E-06,1.299E-05,1.107E-05,8,1,NO,NO
0.0087615,0.0087615,0.0087575,0.0087585,492,0.008759,111,20,60,1.97260274,8.43E-06,1.665E-05,9.36E-06,8,1,NO,NO
0.0087585,0.0087615,0.008757,0.0087575,477,0.0087593,126,25,60,1.97260274,5.625E-06,9.9E-06,-2.205E-06,8,1,NO,NO
0.008757,0.008762,0.008755,0.0087605,547,0.0087583,163,30,60,1.97260274,5.505E-06,6.03E-06,-5.04E-06,8,1,NO,NO
0.0087605,0.0087615,0.008758,0.008759,463,0.0087597,144,35,60,1.97260274,6.075E-06,6.54E-06,9E-08,8,1,NO,NO
0.0087585,0.0087595,0.008757,0.0087585,521,0.00875825,167,40,60,1.97260274,5.805E-06,1.2E-06,9E-08,8,1,SELL,NO
0.0087575,0.008759,0.0087505,0.0087525,899,0.0087537,265,45,60,1.97260274,3.9E-06,-3.57E-06,-3.645E-06,8,1,SELL,EXECUTE
0.0087525,0.0087575,0.0087525,0.008757,671,0.0087548,196,50,60,1.97260274,-3.045E-06,-1.548E-05,-1.5795E-05,8,1,SELL,NO
0.0087565,0.0087565,0.0087515,0.008752,753,0.00875375,193,55,60,1.97260274,-1.23E-06,-8.94E-06,-3.465E-06,8,1,NO,NO
0.0087515,0.0087535,0.0087475,0.0087535,1287,0.00875025,306,0,60,1.97260274,-7.17E-06,-1.548E-05,-9E-06,9,2,NO,NO
0.0087535,0.0087565,0.0087515,0.008755,867,0.0087538,210,5,60,1.97260274,-8.985E-06,-1.683E-05,-4.5E-06,9,2,NO,NO
