Open,High,Low,Close,Volume,WAP,Count,Minute,Day,Month,Tesla3,Tesla6,Tesla9,Value5,Value6,Decision,EXECUTE
0.04865,0.04869,0.04863,0.04867,323,0.048655,62,30,60,1.97260274,8.01E-05,2.64E-05,-0.000144,8,1,SELL,NO
0.04868,0.04869,0.04867,0.04867,281,0.048683,38,35,60,1.97260274,7.92E-05,-1.2E-05,-6.03E-05,8,1,SELL,NO
0.04866,0.04868,0.04866,0.04867,223,0.048663,43,40,60,1.97260274,6.9E-05,-4.74E-05,-1.71E-05,8,1,NO,NO
0.04867,0.04867,0.04863,0.04864,286,0.048645,41,45,60,1.97260274,4.53E-05,-8.22E-05,-9E-07,8,1,NO,NO
0.04864,0.0487,0.04864,0.04869,431,0.048671,52,50,60,1.97260274,-5.4E-06,-0.0001332,-6.84E-05,8,1,NO,NO
0.0487,0.04872,0.04867,0.04869,767,0.048697,94,55,60,1.97260274,1.56E-05,3E-06,7.2E-05,8,1,NO,NO
0.04869,0.0487,0.04867,0.04867,283,0.048681,51,0,60,1.97260274,2.7E-06,4.14E-05,8.82E-05,9,2,BUY,NO
0.04868,0.0487,0.04867,0.04869,209,0.048681,55,5,60,1.97260274,-2.43E-05,3.3E-05,2.52E-05,9,2,NO,NO
0.04869,0.0487,0.04869,0.04869,303,0.048694,57,10,60,1.97260274,-1.5E-05,5.76E-05,1.08E-05,9,2,NO,NO
0.04869,0.04869,0.04863,0.04863,158,0.048666,22,15,60,1.97260274,9.3E-06,6.36E-05,1.35E-05,9,2,NO,NO
0.04863,0.04863,0.0486,0.04863,260,0.048614,52,20,60,1.97260274,-3.39E-05,-5.04E-05,-0.000117,9,2,SELL,NO
0.04862,0.04862,0.04859,0.04859,42,0.048609,16,25,60,1.97260274,-5.97E-05,-0.0001356,-0.0001683,9,2,SELL,EXECUTE
0.04859,0.04861,0.04857,0.04858,273,0.04858,43,30,60,1.97260274,-7.44E-05,-0.0001992,-0.0001665,9,2,NO,NO
0.04859,0.04862,0.04859,0.0486,56,0.048605,19,35,60,1.97260274,-9.66E-05,-0.0002478,-0.0001161,9,2,NO,NO
0.04861,0.04865,0.0486,0.04864,142,0.048618,22,40,60,1.97260274,-7.38E-05,-0.0001752,1.98E-05,9,2,NO,NO
0.04864,0.04865,0.0486,0.0486,184,0.048627,30,45,60,1.97260274,-5.34E-05,-8.34E-05,9.36E-05,9,2,NO,NO
0.04859,0.04862,0.04858,0.04862,142,0.048597,25,50,60,1.97260274,-8.88E-05,-8.94E-05,3.6E-06,9,2,NO,NO
0.04862,0.04864,0.0486,0.04864,559,0.048617,66,55,60,1.97260274,-9.57E-05,-2.1E-05,-1.17E-05,9,2,BUY,EXECUTE
0.04864,0.04865,0.04862,0.04864,243,0.048637,37,0,60,1.97260274,-6.24E-05,6.36E-05,4.95E-05,10,3,NO,NO
0.04863,0.04864,0.04863,0.04863,15,0.048631,8,5,60,1.97260274,-3.63E-05,7.32E-05,5.04E-05,10,3,NO,NO
0.04863,0.04863,0.04862,0.04863,32,0.048629,13,10,60,1.97260274,-1.83E-05,5.52E-05,3.6E-05,10,3,NO,NO
0.04864,0.04866,0.04864,0.04866,38,0.048645,11,15,60,1.97260274,2.07E-05,5.46E-05,2.16E-05,10,3,NO,NO
0.04867,0.04868,0.04866,0.04868,258,0.048676,22,20,60,1.97260274,0.0000666,0.0001026,7.92E-05,10,3,NO,NO
0.04868,0.04869,0.04868,0.04869,9,0.048683,5,25,60,1.97260274,9E-05,0.0001404,0.0001179,10,3,NO,NO
0.04868,0.04869,0.04868,0.04868,69,0.048685,27,30,60,1.97260274,8.88E-05,0.0001464,8.37E-05,10,3,NO,NO
0.04869,0.04871,0.04869,0.04869,83,0.048697,17,35,60,1.97260274,9.09E-05,0.0001416,5.49E-05,10,3,NO,NO
0.04869,0.04869,0.04866,0.04867,141,0.048666,23,40,60,1.97260274,9.45E-05,0.0001392,2.97E-05,10,3,NO,NO
0.04868,0.04868,0.04866,0.04867,72,0.048674,20,45,60,1.97260274,6.42E-05,6.66E-05,-3.51E-05,10,3,NO,NO
0.04866,0.04867,0.04866,0.04867,18,0.048662,9,50,60,1.97260274,5.58E-05,2.1E-05,-4.86E-05,10,3,SELL,NO
0.04866,0.04866,0.04866,0.04866,14,0.04866,8,55,60,1.97260274,3.9E-05,-2.7E-05,-4.95E-05,10,3,SELL,NO
0.04865,0.04867,0.04864,0.04864,103,0.048659,21,0,60,1.97260274,2.34E-05,-7.26E-05,-3.78E-05,11,4,NO,NO
0.04864,0.04867,0.04864,0.04867,586,0.048662,46,5,60,1.97260274,5.1E-06,-7.98E-05,-5.13E-05,11,4,NO,NO
0.04867,0.04867,0.04866,0.04867,958,0.048668,68,10,60,1.97260274,9.3E-06,-3.48E-05,1.89E-05,11,4,NO,NO
0.04866,0.04867,0.04865,0.04866,901,0.048655,78,15,60,1.97260274,-9.9E-06,-2.58E-05,6.3E-06,11,4,NO,NO
0.04865,0.04865,0.04862,0.04862,404,0.048631,47,20,60,1.97260274,-3.93E-05,-3.12E-05,-3.06E-05,11,4,BUY,NO
0.04862,0.04865,0.04862,0.04865,216,0.048636,18,25,60,1.97260274,-6.87E-05,-9.18E-05,-0.0001026,11,4,SELL,NO
0.04865,0.0487,0.04865,0.0487,112,0.048681,25,30,60,1.97260274,-4.5E-05,-4.26E-05,-1.62E-05,11,4,BUY,EXECUTE
0.04869,0.0487,0.04869,0.0487,30,0.048699,6,35,60,1.97260274,1.29E-05,5.58E-05,0.0001251,11,4,BUY,NO
0.04869,0.04869,0.04867,0.04868,77,0.048676,9,40,60,1.97260274,3.48E-05,8.04E-05,0.0001179,11,4,BUY,NO
0.04868,0.04868,0.04867,0.04868,25,0.04868,11,45,60,1.97260274,1.71E-05,5.76E-05,1.8E-05,11,4,NO,NO
0.04868,0.0487,0.04868,0.0487,76,0.04869,13,50,60,1.97260274,2.31E-05,7.8E-05,-1.44E-05,11,4,NO,NO
0.0487,0.04871,0.04868,0.04869,203,0.048689,22,55,60,1.97260274,3.93E-05,0.0001062,3.15E-05,11,4,NO,NO
0.04868,0.0487,0.04868,0.04869,70,0.048687,13,0,60,1.97260274,2.82E-05,5.46E-05,2.7E-06,12,5,NO,NO
0.04869,0.04871,0.04869,0.04871,175,0.048701,18,5,60,1.97260274,4.14E-05,3.72E-05,7.2E-06,12,5,SELL,NO
0.0487,0.04872,0.0487,0.04871,184,0.048716,29,10,60,1.97260274,6.36E-05,3.96E-05,3.15E-05,12,5,SELL,NO
0.04871,0.04875,0.0487,0.04871,634,0.04873,61,15,60,1.97260274,7.47E-05,6.42E-05,5.31E-05,12,5,SELL,NO
0.0487,0.04873,0.0487,0.04872,145,0.048724,25,20,60,1.97260274,6.39E-05,7.5E-05,2.34E-05,12,5,NO,NO
0.04872,0.04874,0.04871,0.04873,274,0.048725,46,25,60,1.97260274,5.88E-05,8.52E-05,1.53E-05,12,5,NO,NO
0.04873,0.04876,0.04873,0.04873,233,0.048745,44,30,60,1.97260274,5.22E-05,8.58E-05,1.35E-05,12,5,NO,NO
0.04872,0.04875,0.0487,0.04875,408,0.048724,61,35,60,1.97260274,5.55E-05,8.22E-05,5.4E-06,12,5,NO,NO
0.04874,0.04875,0.04873,0.04875,69,0.048743,16,40,60,1.97260274,5.79E-05,5.64E-05,9E-06,12,5,SELL,NO
0.04875,0.04878,0.04874,0.04878,637,0.048763,68,45,60,1.97260274,7.2E-05,6.9E-05,4.41E-05,12,5,SELL,NO
0.04877,0.04879,0.04876,0.04879,365,0.048771,49,50,60,1.97260274,8.97E-05,0.0001026,8.19E-05,12,5,NO,NO
0.04879,0.04879,0.04876,0.04876,293,0.04877,32,55,60,1.97260274,9.87E-05,0.0001188,0.0001089,12,5,NO,NO
0.04876,0.04881,0.04876,0.04879,679,0.048791,50,0,60,1.97260274,6.78E-05,8.52E-05,1.17E-05,13,6,NO,NO
0.04879,0.04879,0.04876,0.04879,358,0.048777,30,5,60,1.97260274,8.73E-05,0.000135,6.03E-05,13,6,NO,NO
0.04879,0.0488,0.04876,0.04876,99,0.048781,19,10,60,1.97260274,7.17E-05,9.54E-05,2.25E-05,13,6,NO,NO
0.04877,0.04878,0.04875,0.04876,206,0.048762,30,15,60,1.97260274,5.34E-05,6.06E-05,-1.53E-05,13,6,NO,NO
0.04876,0.04879,0.04875,0.04878,120,0.048768,33,20,60,1.97260274,3.78E-05,-1.8E-06,-6.03E-05,13,6,SELL,NO
0.04878,0.04879,0.04877,0.04877,114,0.048778,20,25,60,1.97260274,4.77E-05,6E-07,7.2E-06,13,6,NO,NO
0.04876,0.04878,0.04876,0.04876,138,0.048764,34,30,60,1.97260274,3.03E-05,-1.98E-05,-1.17E-05,13,6,NO,NO
0.04876,0.04876,0.04873,0.04874,450,0.048738,64,35,60,1.97260274,1.41E-05,-4.26E-05,-2.16E-05,13,6,NO,NO
0.04875,0.04876,0.04873,0.04874,340,0.048737,52,40,60,1.97260274,-2.13E-05,-8.1E-05,-6.48E-05,13,6,NO,NO
0.04874,0.04875,0.04872,0.04873,237,0.048732,42,45,60,1.97260274,-4.23E-05,-8.04E-05,-5.67E-05,13,6,NO,NO
0.04873,0.04877,0.04873,0.04876,327,0.048756,79,50,60,1.97260274,-5.55E-05,-9.9E-05,-4.23E-05,13,6,NO,NO
0.04876,0.04879,0.04875,0.04878,1571,0.048769,297,55,60,1.97260274,-2.61E-05,-2.4E-05,6.21E-05,13,6,BUY,NO
0.04878,0.04879,0.04876,0.04877,1232,0.04877,277,0,60,1.97260274,-3.9E-06,3E-05,9.36E-05,14,7,BUY,NO
0.04877,0.04878,0.04875,0.04876,385,0.048759,43,5,60,1.97260274,-2.4E-06,3.78E-05,4.77E-05,14,7,BUY,NO
0.04877,0.04878,0.04874,0.04877,395,0.048757,48,10,60,1.97260274,-9.3E-06,5.22E-05,3.6E-06,14,7,NO,NO
0.04875,0.04877,0.04874,0.04875,275,0.048746,34,15,60,1.97260274,-1.74E-05,3.06E-05,-3.69E-05,14,7,NO,NO
0.04875,0.04876,0.04874,0.04874,147,0.048743,28,20,60,1.97260274,-1.68E-05,-1.2E-06,-3.6E-05,14,7,NO,NO
